R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.248304180242121,34,154,753665,47,49,55,64,75,86,95,
0.89582536816597,388,11,704474,238,259,293.75,336,398.25,468.1,520.05,
0.895979746431112,490,89,271035,386.95,425,477,565,665.5,813.2,896.15,
0.382939158380032,468,53,873012,79,83.9,91,101,114,128,138.05,
0.804113273881376,477,35,361838,213,228,256.75,292,343,402.1,440.15,
0.346817435324192,49,19,203861,48,51,59,70,85,102,110,
0.47262180224061,24,465,5066,85,91,101,115,133,152,166,
0.172661069221795,7,498,975023,49,51,57,64,74,85,90.05,
0.696254842728376,491,492,819171,143,152,167,185,208.25,239,262.1,
0.563229822739959,29,72,947166,59,63,74,88,107,127,142,
0.577725320495665,195,248,119605,110,117,130,147,169,194,209.05,
0.481020092777908,57,117,127882,68,74,85,99,118,136,149,
0.33427815027535,208,34,995709,63,67,73,82,94,109,118.05,
0.795598922669888,431,470,863780,176,185,206,231,260,295,322.05,
0.782970742881298,475,323,532798,195,208,229,260,300,340,372.05,
0.604111344739795,498,401,813830,117,123.9,136.75,154,174,197,212.05,
0.271738328970969,168,453,707799,65,68,74,82,94,107,115,
0.216617314144969,324,500,547557,66,69,75,83,93,104,111.05,
0.745307201519608,133,499,505392,153,166,188,213,247,287.1,306.05,
0.899788967519999,163,478,836015,221,239.9,272,312,363,429,463.15,
0.359598196484148,38,496,90199,71,75,83,94,107,122,132.05,
0.297964666038752,492,428,287734,78,82,89,99,111,125,136,
0.622306648083031,488,155,16037,145,153,168,189,215,249,281,
0.323608798906207,202,281,314929,70,74,82,91,105,119,128.05,
0.545058370940387,185,82,344582,91,97,109,123,144,166,187.05,
0.100777243264019,231,161,148557,52,55,60,66.5,75,84,90.05,
0.604647145420313,2,88,28249,66,72,87,105,129,161,181,
0.676869775913656,495,159,692522,136,145,159,178,203,234,253,
0.716613135673106,39,500,80330,159,170,192,223,265,309,340.05,
0.830147723294795,306,481,94215,306.9,328.9,372,429,509,588,641,
0.155356206186116,497,358,77689,65,68,73,80,91,102,108,
0.456817012280226,470,1,776162,87.95,92,102,114,128,146,159,
0.818304680101574,58,323,830717,140,151,173.75,205,241,279,312.05,
0.408155314996839,154,307,998220,71,76,84,94,108,124,134,
0.513731319084764,459,484,112601,115,121,131,148,169,191,210.05,
0.184542528167367,467,26,997853,62,65,70,77,87,99,106,
0.100657266192138,425,24,719468,56,59,63,70,78,87,91,
0.194454821385443,384,37,795214,62,65,71,78,88,100,108,
0.487285355105996,493,293,494548,102,106,116,127,144,162,176,
0.423485762439668,208,86,897682,73,77,84,96,110,128,140,
0.235340501368046,35,79,143143,44,46,52,62,72,84,93,
0.662103459611535,496,250,906750,127,134,147,165,186,209,229.05,
0.897227584756911,10,289,327417,233,259.9,313,395.5,493.25,605,663.05,
0.375227853469551,4,155,35810,52,57,65,76,91,107,117,
0.18487951066345,38,498,322006,54,56,62,71,80,92,100,
0.898688642680645,475,463,136235,545.85,586,681,789,923.25,1102.3,1239.35,
0.884511779434979,222,4,888948,170.95,184,217,250,295.25,345,377.1,
0.45793404635042,205,294,30965,90,95,106,120,138,161,176,
0.707580999284983,248,397,317753,153.95,162,181,207,238,280.1,308.05,
0.371132080443203,492,485,532772,85,89,97,107,120.25,136,149,
0.39441917669028,4,491,190353,71,75,85,96,109,126,140,
0.886009243503213,7,37,953457,65.95,78.9,98,129,169,219.1,267,
0.71469854824245,385,360,765741,144.95,152.9,168.75,191,218,249,265.05,
0.799434406869113,491,406,13232,287.95,308,352,404,469,536.1,572.1,
0.166986801847816,12,313,609614,45,48,53,60,69,80,88,
0.100505691953003,150,40,957266,46,49,54,60,69,79,84,
0.826182795874775,486,493,273899,278,295,326,375,433.25,493,540,
0.617235941067338,208,497,25868,134.95,141,157,178,206,236,261.05,
0.410521085746586,366,470,14832,93,98,106,118,135,154,166.05,
0.723885416798294,254,2,869568,119.95,127,141,163.5,190,222,239,
0.528065034933388,496,35,663033,99,105,116.75,132,150,169,185,
0.144915690273047,498,239,725104,61,63,70,76,86,96,102.05,
0.710181375965476,486,11,573033,145,155,171.75,197,226,255,281,
0.166256766021252,432,496,967406,62,65,70,78,88,99,106,
0.595606982707977,423,14,910357,103,109,121,137,158,179,197,
0.842843566089869,13,2,507907,48,57,78,109,158.25,215,257.05,
0.644980189949274,11,2,185112,35,41,55,76,101,128,152.05,
0.82893132083118,136,190,44435,241.95,263,311.75,384.5,470,553.2,630.35,
0.222859449870884,496,281,169222,70,73,79,88,98,112,120,
0.105101575888693,2,4,279588,11,13,18,24,32,41,47,
0.323338275589049,2,33,847517,27,30,36,45,58,72,81,
