R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.173582951724529,117,475,937833,55,57,62,69,78,90,97,
0.51544487234205,30,279,33464,84,90,100,116,138,162,179,
0.175677897036076,479,31,297127,64,66,72,80,89.25,100,110,
0.754147143475711,34,498,916350,125,135,153,175,202.25,235.1,255,
0.202656986936927,52,286,27918,52,55,61,69,78,91,98.05,
0.693614028021693,307,125,907259,120,127,141,161,187,213.1,236.05,
0.421852691844106,483,52,941658,83,87,95,106,121,135,147,
0.425927428342402,486,5,32421,93,98,107,120,138,158,173,
0.176048852875829,495,492,965731,64,67,73,80,90,100.1,108,
0.430412501096725,400,388,565539,88,93,102,114,129,147.1,160,
0.769083533063531,253,338,363446,178,191.9,215,247,289,335.1,370,
0.133946358598769,119,211,997884,50,52,56,63,72,81,89,
0.371142189763486,19,461,6371,70,74,82,93,107,126,136,
0.101286671310663,160,45,463662,48,50,55,61,69,79,87,
0.894473247975111,492,338,835177,247.95,265.9,297,337,386,450,492.05,
0.698776922002435,11,295,44418,125.95,137,157.75,187,226,273,301.1,
0.8362917996943,499,355,976716,189,200,221,251,289,331.1,358.05,
0.21695896871388,289,413,305507,64,67,74,82,93,106,115,
0.793635671772063,462,160,174444,234,248,280.75,325,376.25,438,496.05,
0.534682827442884,200,382,998539,90,94,104,118,134,152,167.05,
0.47870930172503,364,168,886637,87,92,101,113,128,147,162.05,
0.677616464905441,390,7,91886,151,161,181,205,238,275,307.05,
0.488773894123733,151,473,392553,91,97,107,120,139,165,180,
0.19172090254724,170,498,9592,61,64,70,77,87,97,106,
0.322347440570593,69,166,527486,56.95,60,67,78,91,105,114,
0.584047484956682,408,286,33362,131.95,139,153,171,196,222,243,
0.415435566008091,9,216,117979,61,66,74,87,104,121,135,
0.672885140031576,10,1,552860,31,37,49,66,89,118.1,140,
0.651788027770817,11,497,322877,115,123.9,139,162,188,221,241,
0.71370129454881,290,423,576632,146,156,172,195,224,255,278.05,
0.154224967397749,355,178,16476,60,63,68,76,86,97,104,
0.890740558132529,106,319,264336,304.95,333,389.75,464,578.25,684.1,785.05,
0.895954438112676,310,24,289922,330.95,362,414,499,589,706.2,792,
0.703215426765382,137,15,328606,112,122,140,165,199,240,267.15,
0.291775194555521,174,95,277998,61,64,72,82,93,107,114.05,
0.558059158176184,486,306,561609,111.95,117,129,144,161.25,183,199,
0.874013035744429,197,462,17031,447.95,493,569,685,835,996.2,1101,
0.686680697649717,462,481,24117,182.95,192,212,240,274,312.1,340.1,
0.899961800128222,102,114,834932,165.95,180.9,210,248,308.25,362,410.1,
0.326488327421248,490,496,9882,84,87,95,106,120,136,146,
0.494371854700148,2,7,44459,17,20,28,39,55,74,91,
0.644849354214966,367,354,823517,124,129,141,157,177,203.1,222.1,
0.413792780414224,453,494,979056,85,89,97,107,121,137,146.05,
0.395254370383918,129,3,287898,64,68,76,88,101,117.1,127,
0.48257015850395,167,86,592503,79,83,92,106,123,141,154.05,
0.852044403366745,357,9,769474,187.95,200,225,259.5,307,359,393,
0.876946783810854,3,121,5417,196,224.7,302.75,413,550.5,714.3,848.35,
0.850304324552417,140,309,982108,158,168,190,221,260,304,332.05,
0.108726219087839,239,160,981931,52,54,59,66,74,82,89,
0.100703616440296,357,326,199910,57,60,65,71,79,89.1,96,
0.498073140718043,444,393,12150,111,117,128,143,163,185.1,202.05,
0.214005708880723,242,7,403369,59,62,67,75,85,96,107,
0.133894689567387,498,205,978994,60,63,68,76,84,95,104,
0.260972997173667,274,258,898455,64,67,73,82,93,105.1,114.05,
0.403648538514972,54,394,785000,69,73,81,92,105,121,132,
0.587929023616016,33,190,16253,89,97,111.75,131,155,182.1,201.05,
0.439086585491896,5,148,840893,52,56,65,76,90,107,121,
0.85484953802079,51,152,946544,126,138,163,194.5,236,284.1,315.05,
0.116770992986858,320,484,173214,58,61,66,72,81.25,91,98,
0.655040310882032,60,326,952969,96,103,115,133,154,180,199.05,
0.609268737584353,63,12,158674,74,81,97,116,142,171,191,
0.563289001211524,92,499,536919,99.95,105,116,131,151,174.1,190.05,
0.564343236759305,76,23,829624,67.95,73,83,97,115,138,152,
0.1204016873613,62,201,252646,45,47,52,60,68,78.1,85,
0.180232487805188,395,191,986910,61,64,69,76,86,95,102,
0.863124539144337,468,104,972980,197.95,208,230.75,266,309,354,386,
0.113926135189831,335,2,321615,55,57,62,69,77,90,98,
0.693471278809011,499,385,887714,140,147,161,182,211,237.1,259.05,
0.851614568382502,148,469,770269,191,205,230,266,312.25,365,404,
0.604517056234181,324,2,566045,105,112,124.75,142,163,184,203,
0.529336524195969,20,125,969954,59,63,73,87,103,122,135.15,
0.398812926933169,493,436,353101,91,95,103,113,128,145,158,
0.175277369096875,13,106,41218,37,40,46,54,64,74,82,
0.703430091962218,410,500,462133,159,169,185,209,241,282.1,303.05,
0.889727436564863,327,22,999352,186.95,201,227.75,261,308,358.1,397.05,
0.16258162856102,9,432,669562,48,51,56,63,73,83,89,
0.895126463659108,492,129,181936,457,497.9,563.75,662.5,792,923,1006.35,
0.130878092348576,425,395,14394,61,64,70,77,85.25,97,103,
0.406837941333652,463,6,516902,84,89,96,107,121,138,146,
0.889074687659741,362,392,993892,215,229,252.75,288,337,392.1,424,
0.722263466753066,286,130,13844,174.95,186.9,212,245,283.25,333,364.05,
0.406819352321327,14,83,8576,49,53,62,74,90.25,106.1,120,
0.899491029419005,458,302,197124,472.95,510,584.75,690.5,806,974.3,1077.6,
0.104534790664911,344,237,748423,56,58,63,69,78,88,95,
0.212056084349751,492,210,485754,67,70,76,84,93,105,114,
0.29399728551507,384,79,707464,69,72,78,87,99,114,123,
0.740535135753453,40,104,253289,107,117,139,169,211,254,283,
0.402352185361087,229,8,914237,69,74,81,92,105,122,133,
0.118994308449328,498,422,761421,61,63,68,74,82,92,100,
0.177275720797479,293,457,984645,60,63,69,76,87,100,107,
0.359518286213279,305,495,989715,75,80,88,97,111,126,137,
0.356803706847131,483,3,781988,77,81,88,98,110,124,135,
0.8128254275769,498,205,412998,225.95,240.9,271,308,357,409,446,
0.878665769845247,220,2,163974,299.95,323,383,460,575.25,705.2,779.25,
0.120913540758193,144,492,618847,53,55,61,67,76,86,93,
0.859638102166355,4,449,241455,247,269,312.75,371,461,547,607.1,
0.898407800681889,497,498,473349,347,366,412,475,553,655.1,717.1,
0.862260705046356,5,490,599676,195,210.9,239,280,334.5,398.2,445.05,
0.289413677342236,11,345,569540,55,58,64,73,86,97,107,
0.222956658899784,3,493,743832,53,56,63,71,80,93,101.05,
0.11714751701802,61,120,695525,41,44.9,49,57,65,75,82.05,
0.372720540873706,246,358,137883,80,85,92,102,118,133,145,
0.871562251076102,21,60,314053,126,145,183,240,315,428,498.15,
0.588652567379177,494,246,973228,110,116.9,128,144,160,183,202,
0.823253699764609,488,212,5766,331,356.9,401.75,466.5,550,644.1,717.15,
0.340098706260324,182,323,677604,70,74,81,90.5,103,116,128,
0.112065167166293,500,203,26398,60,62,68,75,84,94.1,102,
0.26900891456753,497,4,196311,72,75,81,91,103,119,127,
0.720854287222028,18,283,525954,112,121,138,165,196,234,254.05,
0.544494599476457,491,5,810528,101,107.9,118,131,151,173,187.05,
